ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-168249,Innate Immune System,6/19,10/65,0.6,2.05263157894737,2.30771897804541,0.0294669707910888,0.147334853955444,0.147334853955444,GPI/ALDOA/PKM/PGM1/PGAM1/ALDH3B1,6
R-HSA-168256,Immune System,6/19,10/65,0.6,2.05263157894737,2.30771897804541,0.0294669707910888,0.147334853955444,0.147334853955444,GPI/ALDOA/PKM/PGM1/PGAM1/ALDH3B1,6
R-HSA-6798695,Neutrophil degranulation,6/19,10/65,0.6,2.05263157894737,2.30771897804541,0.0294669707910888,0.147334853955444,0.147334853955444,GPI/ALDOA/PKM/PGM1/PGAM1/ALDH3B1,6
R-HSA-70171,Glycolysis,11/19,27/65,0.407407407407407,1.39376218323587,1.70652226830354,0.0749766099396522,0.256796963053462,0.256796963053462,GPI/ENO1/ALDOA/PFKP/HK2/ENO2/GAPDH/PKM/TPI1/PGAM1/ENO4,11
R-HSA-70263,Gluconeogenesis,9/19,21/65,0.428571428571429,1.46616541353383,1.65581277623828,0.0855989876844872,0.256796963053462,0.256796963053462,GPI/ENO1/ALDOA/G6PC3/ENO2/GAPDH/TPI1/PGAM1/ENO4,9
R-HSA-70326,Glucose metabolism,12/19,33/65,0.363636363636364,1.24401913875598,1.27407132811153,0.156006754767231,0.379607248182131,0.379607248182131,GPI/ENO1/ALDOA/PFKP/G6PC3/HK2/ENO2/GAPDH/PKM/TPI1/PGAM1/ENO4,12
R-HSA-71387,Metabolism of carbohydrates and carbohydrate derivatives,13/19,37/65,0.351351351351351,1.20199146514936,1.19383068498339,0.177150049151661,0.379607248182131,0.379607248182131,GPI/ENO1/ALDOA/PFKP/G6PC3/HK2/ENO2/GAPDH/PKM/PGM1/TPI1/PGAM1/ENO4,13
R-HSA-1643685,Disease,4/19,10/65,0.4,1.36842105263158,0.807701642315894,0.32131552186437,0.602466603495695,0.602466603495695,ENO1/G6PC3/DLD/PGM1,4
R-HSA-211945,Phase I - Functionalization of compounds,3/19,12/65,0.25,0.855263157894737,-0.354094884535821,0.754347573182933,0.993651779791868,0.993651779791868,ALDH3A1/ALDH2/ACSS2,3
R-HSA-211859,Biological oxidations,3/19,13/65,0.230769230769231,0.789473684210526,-0.541208073193391,0.809857626552514,0.993651779791868,0.993651779791868,ALDH3A1/ALDH2/ACSS2,3
R-HSA-162582,Signal Transduction,2/19,11/65,0.181818181818182,0.62200956937799,-0.877138430682446,0.898564868701941,0.993651779791868,0.993651779791868,ALDH3A2/DLD,2
R-HSA-71384,Ethanol oxidation,2/19,11/65,0.181818181818182,0.62200956937799,-0.877138430682446,0.898564868701941,0.993651779791868,0.993651779791868,ALDH2/ACSS2,2
R-HSA-1428517,Aerobic respiration and respiratory electron transport,2/19,12/65,0.166666666666667,0.570175438596491,-1.05155450559123,0.927408327805743,0.993651779791868,0.993651779791868,DLD/PKM,2
R-HSA-70268,Pyruvate metabolism,2/19,12/65,0.166666666666667,0.570175438596491,-1.05155450559123,0.927408327805743,0.993651779791868,0.993651779791868,DLD/PKM,2
R-HSA-1430728,Metabolism,19/19,65/65,0.292307692307692,1,,1,1,1,GPI/ENO1/ALDH3A1/ALDOA/PFKP/G6PC3/ALDH3A2/ALDH2/HK2/ENO2/GAPDH/DLD/PKM/PGM1/TPI1/ACSS2/PGAM1/ALDH3B1/ENO4,19
