gene_symbol,regulation,STRING_id
ACSS2,Up,9606.ENSP00000253382
ADH1A,Down,9606.ENSP00000209668
ADH1B,Down,9606.ENSP00000306606
ADH1C,Down,9606.ENSP00000426083
ADH4,Down,9606.ENSP00000265512
ADH6,Down,9606.ENSP00000378359
ALDH2,Up,9606.ENSP00000261733
ALDH3A1,Up,9606.ENSP00000411821
ALDH3A2,Up,9606.ENSP00000345774
ALDH3B1,Up,9606.ENSP00000473990
ALDH3B2,Down,9606.ENSP00000255084
ALDOA,Up,9606.ENSP00000378669
ALDOB,Down,9606.ENSP00000363988
DLD,Up,9606.ENSP00000205402
ENO1,Up,9606.ENSP00000234590
ENO2,Up,9606.ENSP00000437402
ENO4,Up,9606.ENSP00000345555
FBP2,Down,9606.ENSP00000364486
G6PC3,Up,9606.ENSP00000269097
GAPDH,Up,9606.ENSP00000229239
GCK,Down,9606.ENSP00000223366
GPI,Up,9606.ENSP00000405573
HK2,Up,9606.ENSP00000290573
LDHC,Down,9606.ENSP00000437783
PCK1,Down,9606.ENSP00000319814
PFKP,Up,9606.ENSP00000370517
PGAM1,Up,9606.ENSP00000359991
PGAM2,Down,9606.ENSP00000297283
PGM1,Up,9606.ENSP00000360124
PKM,Up,9606.ENSP00000320171
TPI1,Up,9606.ENSP00000229270
