gene,in_hsa00010,in_hsa00030,in_hsa00020,in_matrix
ACSS1,TRUE,FALSE,FALSE,TRUE
ACSS2,TRUE,FALSE,FALSE,TRUE
ADH1A,TRUE,FALSE,FALSE,TRUE
ADH1B,TRUE,FALSE,FALSE,TRUE
ADH1C,TRUE,FALSE,FALSE,TRUE
ADH4,TRUE,FALSE,FALSE,TRUE
ADH5,TRUE,FALSE,FALSE,TRUE
ADH6,TRUE,FALSE,FALSE,TRUE
ADH7,TRUE,FALSE,FALSE,TRUE
ADPGK,TRUE,FALSE,FALSE,TRUE
AKR1A1,TRUE,FALSE,FALSE,TRUE
ALDH1B1,TRUE,FALSE,FALSE,TRUE
ALDH2,TRUE,FALSE,FALSE,TRUE
ALDH3A1,TRUE,FALSE,FALSE,TRUE
ALDH3A2,TRUE,FALSE,FALSE,TRUE
ALDH3B1,TRUE,FALSE,FALSE,TRUE
ALDH3B2,TRUE,FALSE,FALSE,TRUE
ALDH7A1,TRUE,FALSE,FALSE,TRUE
ALDH9A1,TRUE,FALSE,FALSE,TRUE
ALDOA,TRUE,TRUE,FALSE,TRUE
ALDOB,TRUE,TRUE,FALSE,TRUE
ALDOC,TRUE,TRUE,FALSE,TRUE
BPGM,TRUE,FALSE,FALSE,TRUE
DLAT,TRUE,FALSE,TRUE,TRUE
DLD,TRUE,FALSE,TRUE,TRUE
ENO1,TRUE,FALSE,FALSE,TRUE
ENO2,TRUE,FALSE,FALSE,TRUE
ENO3,TRUE,FALSE,FALSE,TRUE
ENO4,TRUE,FALSE,FALSE,TRUE
FBP1,TRUE,TRUE,FALSE,TRUE
FBP2,TRUE,TRUE,FALSE,TRUE
G6PC1,TRUE,FALSE,FALSE,FALSE
G6PC2,TRUE,FALSE,FALSE,TRUE
G6PC3,TRUE,FALSE,FALSE,TRUE
GALM,TRUE,FALSE,FALSE,TRUE
GAPDH,TRUE,FALSE,FALSE,TRUE
GAPDHS,TRUE,FALSE,FALSE,TRUE
GCK,TRUE,FALSE,FALSE,TRUE
GPI,TRUE,TRUE,FALSE,TRUE
HK1,TRUE,FALSE,FALSE,TRUE
HK2,TRUE,FALSE,FALSE,TRUE
HK3,TRUE,FALSE,FALSE,TRUE
HKDC1,TRUE,FALSE,FALSE,TRUE
LDHA,TRUE,FALSE,FALSE,TRUE
LDHAL6A,TRUE,FALSE,FALSE,TRUE
LDHAL6B,TRUE,FALSE,FALSE,TRUE
LDHB,TRUE,FALSE,FALSE,TRUE
LDHC,TRUE,FALSE,FALSE,TRUE
MINPP1,TRUE,FALSE,FALSE,TRUE
PCK1,TRUE,FALSE,TRUE,TRUE
PCK2,TRUE,FALSE,TRUE,TRUE
PDHA1,TRUE,FALSE,TRUE,TRUE
PDHA2,TRUE,FALSE,TRUE,TRUE
PDHB,TRUE,FALSE,TRUE,TRUE
PFKL,TRUE,TRUE,FALSE,TRUE
PFKM,TRUE,TRUE,FALSE,TRUE
PFKP,TRUE,TRUE,FALSE,TRUE
PGAM1,TRUE,FALSE,FALSE,TRUE
PGAM2,TRUE,FALSE,FALSE,TRUE
PGAM4,TRUE,FALSE,FALSE,TRUE
PGK1,TRUE,FALSE,FALSE,TRUE
PGK2,TRUE,FALSE,FALSE,TRUE
PGM1,TRUE,TRUE,FALSE,TRUE
PGM2,TRUE,TRUE,FALSE,TRUE
PKLR,TRUE,FALSE,FALSE,TRUE
PKM,TRUE,FALSE,FALSE,TRUE
TPI1,TRUE,FALSE,FALSE,TRUE
DERA,FALSE,TRUE,FALSE,FALSE
G6PD,FALSE,TRUE,FALSE,FALSE
GLYCTK,FALSE,TRUE,FALSE,FALSE
H6PD,FALSE,TRUE,FALSE,FALSE
IDNK,FALSE,TRUE,FALSE,FALSE
PGD,FALSE,TRUE,FALSE,FALSE
PGLS,FALSE,TRUE,FALSE,FALSE
PRPS1,FALSE,TRUE,FALSE,FALSE
PRPS1L1,FALSE,TRUE,FALSE,FALSE
PRPS2,FALSE,TRUE,FALSE,FALSE
RBKS,FALSE,TRUE,FALSE,FALSE
RGN,FALSE,TRUE,FALSE,FALSE
RPE,FALSE,TRUE,FALSE,FALSE
RPEL1,FALSE,TRUE,FALSE,FALSE
RPIA,FALSE,TRUE,FALSE,FALSE
SHPK,FALSE,TRUE,FALSE,FALSE
TALDO1,FALSE,TRUE,FALSE,FALSE
TKT,FALSE,TRUE,FALSE,FALSE
TKTL1,FALSE,TRUE,FALSE,FALSE
TKTL2,FALSE,TRUE,FALSE,FALSE
ACLY,FALSE,FALSE,TRUE,FALSE
ACO1,FALSE,FALSE,TRUE,FALSE
ACO2,FALSE,FALSE,TRUE,FALSE
CS,FALSE,FALSE,TRUE,FALSE
DLST,FALSE,FALSE,TRUE,FALSE
FH,FALSE,FALSE,TRUE,FALSE
IDH1,FALSE,FALSE,TRUE,FALSE
IDH2,FALSE,FALSE,TRUE,FALSE
IDH3A,FALSE,FALSE,TRUE,FALSE
IDH3B,FALSE,FALSE,TRUE,FALSE
IDH3G,FALSE,FALSE,TRUE,FALSE
MDH1,FALSE,FALSE,TRUE,FALSE
MDH2,FALSE,FALSE,TRUE,FALSE
OGDH,FALSE,FALSE,TRUE,FALSE
OGDHL,FALSE,FALSE,TRUE,FALSE
PC,FALSE,FALSE,TRUE,FALSE
SDHA,FALSE,FALSE,TRUE,FALSE
SDHB,FALSE,FALSE,TRUE,FALSE
SDHC,FALSE,FALSE,TRUE,FALSE
SDHD,FALSE,FALSE,TRUE,FALSE
SUCLA2,FALSE,FALSE,TRUE,FALSE
SUCLG1,FALSE,FALSE,TRUE,FALSE
SUCLG2,FALSE,FALSE,TRUE,FALSE
