gene_symbol,regulation,community_louvain,degree,strength,betweenness_unw,closeness_unw,betweenness_w,closeness_w,eigenvector_w
GPI,Up,2,17,16.464,0.0023,6e-04,0.2414,0.4978,1
ALDOA,Up,2,16,14.579,0.0471,6e-04,0.0023,0.4797,0.9209
ALDOB,Down,2,16,14.162,0.0747,6e-04,0,0.4734,0.8915
PKM,Up,2,14,13.214,0.0115,6e-04,0.1149,0.5022,0.8861
TPI1,Up,2,14,13.15,0.4069,7e-04,0.3379,0.5577,0.8525
ENO1,Up,2,13,12.12,0.0644,6e-04,0.0506,0.4925,0.8335
ENO2,Up,2,12,10.963,0.0207,6e-04,0,0.4801,0.7735
PFKP,Up,2,11,9.816,0.0391,6e-04,0,0.438,0.7135
PGAM1,Up,2,11,9.993,0,5e-04,0,0.4436,0.7668
ENO4,Up,2,10,8.635,0.0391,6e-04,0,0.4576,0.6293
GAPDH,Up,2,10,9.328,0,5e-04,0,0.4418,0.7306
HK2,Up,2,10,8.609,0.0552,5e-04,0,0.386,0.5341
PGAM2,Down,2,10,8.963,0,5e-04,0,0.4339,0.7001
ALDH2,Up,1,8,7.299,0.3448,6e-04,0.2989,0.4694,0.073
ALDH3A1,Up,1,8,6.836,0,4e-04,0,0.3113,0.0085
ALDH3B1,Up,1,8,6.581,0.0391,4e-04,0,0.3105,0.0082
ALDH3B2,Down,1,8,6.963,0,4e-04,0,0.3124,0.0086
ADH1A,Down,1,7,6.069,0.0023,4e-04,0,0.3468,0.0113
ADH1B,Down,1,7,6.39,0,4e-04,0.0069,0.3568,0.0121
ADH1C,Down,1,7,6.1,0,4e-04,0,0.3508,0.0115
ALDH3A2,Up,1,7,6.176,0,5e-04,0.0069,0.3507,0.0132
ACSS2,Up,1,6,5.566,0.0782,5e-04,0.1747,0.3888,0.0329
GCK,Down,2,6,5.38,0,4e-04,0,0.3508,0.34
PGM1,Up,2,6,5.58,0,5e-04,0,0.4146,0.3796
ADH4,Down,1,5,4.212,0.0046,4e-04,0,0.3426,0.0095
ADH6,Down,1,5,4.224,0.0828,4e-04,0,0.3362,0.0092
FBP2,Down,2,5,4.785,0,4e-04,0,0.3473,0.3659
G6PC3,Up,2,5,4.393,0,4e-04,0,0.3403,0.3041
PCK1,Down,2,5,4.637,0.092,5e-04,0.1701,0.4368,0.2791
LDHC,Down,2,4,3.471,0,4e-04,0,0.3572,0.3022
DLD,Up,2,1,0.708,0,5e-04,0,0.3166,0.0568
