gene_id,logFC_Paired,logFC_TCGA,logFC_GTEx,abs_diff_mag
HK3,2.25939375,1.92920496608527,-0.208498660714284,-2.0508950892857163
GALM,-1.077396875,-0.811701728036176,0.588642956349206,-0.488753918650794
RBKS,-1.032984375,-0.540096180555555,0.575550248015873,-0.4574341269841271
OGDHL,-0.961074999999998,-0.359030870478037,0.735419295634921,-0.22565570436507698
ALDH7A1,-0.949609375,-0.940130838178295,0.543061160714285,-0.40654821428571497
SDHD,-0.933428125000002,-1.11221185400517,0.120868849206348,-0.8125592757936541
SUCLG2,-0.897099999999999,-0.915856581072351,0.343124454365079,-0.55397554563492
ALDH9A1,-0.882890624999999,-1.06551230620155,0.368477976190477,-0.514412648809522
PRPS2,-0.84610625,-1.19384670542636,0.762146428571429,-0.08395982142857095
SDHB,-0.828009375,-0.725444775516796,0.0677922123015881,-0.760217162698412
ALDH1B1,-0.821443749999999,-0.825804061692509,0.648991121031749,-0.17245262896824998
SUCLA2,-0.771671875000001,-0.976007679263566,0.328230803571428,-0.44344107142857303
ACO1,-0.713715625,-0.994724362080102,0.258280704365079,-0.45543492063492097
ACO2,-0.706603125,-0.325822545219638,0.892653174603175,0.18605004960317495
ALDH3A2,-0.702009375,-0.604339591408269,1.19713239087302,0.49512301587302
ADH5,-0.687215625,-0.804818410852714,0.703007142857143,0.015791517857143056
PDHB,-0.602825,-0.511854699612404,0.561422321428572,-0.0414026785714281
AKR1A1,-0.5848625,-0.0351399063307498,0.623564384920637,0.038701884920637086
ALDH2,-0.5512,0.262193790374677,1.29381006944444,0.7426100694444401
SDHC,-0.531403125000001,-0.589499014857882,0.404432242063493,-0.126970882936508
HK1,-0.510056249999999,-0.845299249031009,0.0560635416666653,-0.4539927083333337
FH,-0.506809375,-0.441560820413438,0.589556150793652,0.08274677579365197
OGDH,-0.483965625,-0.49880584625323,0.706152182539683,0.22218655753968303
DLST,-0.412612499999999,-0.537584108527133,0.289404761904764,-0.123207738095235
DLAT,-0.397965624999999,-0.667207412790698,0.579342559523809,0.18137693452380999
IDH1,-0.387978124999999,-0.569844323320414,0.689280704365081,0.30130257936508203
SHPK,-0.370181250000001,-0.235486740956072,0.337126686507938,-0.03305456349206304
PDHA1,-0.341374999999999,-0.17493767764858,0.748323313492063,0.40694831349206406
MDH1,-0.335965624999999,-0.335574555878554,0.669361656746031,0.333396031746032
LDHB,-0.326565625,-0.505770340762274,0.692935168650795,0.36636954365079494
ENO4,-0.30554375,-0.0988098917958652,1.51869816468254,1.21315441468254
SDHA,-0.27695,-0.0587531895994818,0.99214528769841,0.71519528769841
PGAM4,-0.273225,-0.473664284560723,0.932698561507936,0.6594735615079359
PGM2,-0.251421875,-0.671758680555556,0.0936710813492047,-0.1577507936507953
GAPDHS,0.248328125,0.0834325096899222,-0.980224107142858,0.731895982142858
MINPP1,-0.246353125000001,-0.519841561692507,0.65271433531746,0.40636121031745903
BPGM,-0.205371875,-0.175410037144702,0.777810367063492,0.5724384920634921
IDH3G,-0.18158125,0.241260093669251,0.584363194444445,0.40278194444444493
IDH3A,-0.168540625,-0.232699668927649,0.359821676587301,0.19128105158730102
PFKM,-0.153321875,-0.299020437661498,0.934944097222222,0.781622222222222
ENO3,0.0999187499999991,0.787758874354006,-0.58460679563492,0.4846880456349209
ADH7,0.0760625000000004,0.182654869186046,-0.525363541666665,0.4493010416666646
DLD,-0.0608499999999993,-0.209720849483204,1.0908814484127,1.0300314484127007
RPIA,-0.0454687499999996,-0.0489228439922483,0.339316220238098,0.2938474702380984
PRPS1,-0.00859062500000036,-0.328576049741602,0.360686408730159,0.35209578373015865
