gene_id,logFC_Paired,logFC_GTEx,FDR_Paired,FDR_GTEx
HK3,2.25940625,-0.208545634920638,3.53699439724303e-07,0.522991906574567
GALM,-1.0770625,0.589773313492064,1.35115089617816e-06,0.00496587209970313
RBKS,-1.033125,0.575609126984127,3.21251962417115e-06,0.00271047961244565
OGDHL,-0.960843749999999,0.734937003968253,0.0159646114683523,0.0595990733644019
ALDH7A1,-0.95003125,0.543360615079365,3.41016229511108e-06,0.00566380144100635
SDHD,-0.933812499999999,0.12073759920635,4.96173892854073e-07,0.535772819393218
SUCLG2,-0.89753125,0.34293005952381,2.0424471309058e-05,0.0903902578284235
ALDH9A1,-0.883375000000001,0.36776488095238,1.53720215506337e-08,0.0518999374526483
PRPS2,-0.8456875,0.761878968253969,2.95285755273747e-05,3.25923054441765e-05
SDHB,-0.828093750000001,0.0675421626984123,1.54104486762448e-06,0.720702259318624
ALDH1B1,-0.821843749999999,0.649300595238094,0.00535025770291804,0.0279836288342026
SUCLA2,-0.770968750000001,0.327948412698414,9.40110287314903e-06,0.0885356823734428
ACO1,-0.713437500000001,0.259338293650793,0.00166098058298127,0.201867354005253
ACO2,-0.705,0.894102182539683,0.000464583629679933,3.90217835475254e-05
ALDH3A2,-0.701562500000001,1.1960496031746,0.000220356551377976,4.94232598181158e-09
ADH5,-0.688124999999999,0.702499999999999,1.45463835515342e-06,0.000134428104942748
PDHB,-0.602499999999999,0.562114583333332,1.54358996931981e-06,0.000691911600361605
AKR1A1,-0.584687499999999,0.623065476190473,0.00900317425921362,0.00262066666031607
ALDH2,-0.55078125,1.2931691468254,0.0311710743300313,1.38081683345587e-06
SDHC,-0.531562500000001,0.404613095238095,2.85601791486769e-05,0.0253684972674648
HK1,-0.509125000000001,0.0565486111111094,0.0343198409720556,0.800374273386322
FH,-0.506625000000001,0.590298115079365,0.00327710562583452,0.00182275297933519
OGDH,-0.483437500000002,0.706448412698412,0.00278791317243921,0.00054762551524312
DLST,-0.413437500000001,0.289335317460318,0.000271589126453811,0.1112498522336
DLAT,-0.398468750000001,0.578904265873017,0.00876402798313947,0.00122375134542339
IDH1,-0.387375,0.689348214285711,0.0415305493775116,0.000511806530396555
SHPK,-0.370187500000001,0.336488591269841,0.00967291307022293,0.0521664527159669
PDHA1,-0.3425,0.74797619047619,0.0203843734444813,0.000132553315214614
MDH1,-0.3359375,0.669751984126984,0.0309537700481356,0.000765261638668007
LDHB,-0.3259375,0.693308531746031,0.0350458136955827,0.00223952012076845
ENO4,-0.305384375,1.51864528769841,0.230086726771734,1.81135820227216e-11
SDHA,-0.276874999999998,0.991165674603175,0.0903049682730317,1.93930449320645e-06
PGAM4,-0.27318125,0.932717559523808,0.200835991996538,5.9976601475748e-05
PGM2,-0.251718750000001,0.0934126984126977,0.0903049682730317,0.595814057965055
GAPDHS,0.2483125,-0.980233779761907,0.116612579777649,6.04139687470619e-12
MINPP1,-0.246156250000001,0.652718749999999,0.0489660729720127,3.20894726373856e-05
BPGM,-0.2055,0.777874007936507,0.120963612122053,3.24031677983951e-06
IDH3G,-0.1828125,0.584440972222222,0.0925912854756899,0.000563760620908212
IDH3A,-0.16878125,0.360150297619048,0.182054053663461,0.0401313063032931
PFKM,-0.15209375,0.934819444444445,0.355322667261128,5.13703271423381e-06
ENO3,0.0999062500000002,-0.584551091269841,0.720785658288425,0.0464891655145393
ADH7,0.0760687500000002,-0.525334871031746,0.699128194813868,0.00510532791076963
DLD,-0.0621562500000003,1.09079216269841,0.676060964875837,6.07232540940181e-08
RPIA,-0.0455312500000002,0.339240079365078,0.717106779664045,0.0156871981012266
PRPS1,-0.00806250000000118,0.360263392857143,0.944058355387461,0.00119513150669879
